"Rank","Gene","p_value"
771,"ENSG00000272836",1.0296901532102e-07
772,"POLE2",1.03040721840906e-07
773,"ENTPD1",1.03297685201335e-07
774,"ENSG00000271761",1.04196236200476e-07
775,"ENSG00000289060",1.04638227126387e-07
776,"DERA",1.05073055908443e-07
777,"UTP3",1.05250616191421e-07
778,"ITPR1",1.05742373775353e-07
779,"ENSG00000272668",1.05886418287892e-07
780,"MTHFD2P1",1.06499921675581e-07
781,"MEIS1-AS2",1.07072868521142e-07
782,"MIR34AHG",1.07960331386883e-07
783,"OAT",1.08497262453529e-07
784,"SAPCD1",1.08955148302816e-07
785,"AGRN",1.09197936885052e-07
786,"TLN1",1.09435041424044e-07
787,"TMEM158",1.0949720965584e-07
788,"F2R",1.12967696906906e-07
789,"EBPL",1.13225771789825e-07
790,"EIF3A",1.14763374820049e-07
791,"TATDN2P3",1.15236145571136e-07
792,"CDH11",1.15942020395826e-07
793,"MACF1",1.16279054181878e-07
794,"SPPL2A",1.16342104107492e-07
795,"PTPN21",1.16602829958274e-07
796,"ENSG00000277566",1.16707015242544e-07
797,"YPEL5",1.16804002924503e-07
798,"ZNF134",1.1718646235709e-07
799,"IGF2",1.17608672776263e-07
800,"EXOSC8",1.18046125985335e-07
801,"TNXB",1.18750118778066e-07
802,"ENSG00000284640",1.18799657445446e-07
803,"SNHG1",1.18826965829233e-07
804,"MEIS3P1",1.19188566133522e-07
805,"FER1L5",1.1939191350937e-07
806,"PLIN5",1.1960903836256e-07
807,"ENSG00000272807",1.1966429523711e-07
808,"THOC1",1.19745299068503e-07
809,"SEMA3E",1.20487796172787e-07
810,"ODF2L",1.21069349621405e-07
811,"MSH2-OT1",1.2195831986862e-07
812,"SNHG12",1.21985736443587e-07
813,"ENSG00000286808",1.22586739897104e-07
814,"GCA",1.22669025367499e-07
815,"C1orf21-DT",1.22958352299947e-07
816,"LINC02615",1.24730194708201e-07
817,"ENSG00000243230",1.24889117052807e-07
818,"MCHR1",1.26281797375852e-07
819,"BLMH",1.27275428157908e-07
820,"OSR1",1.27520717310922e-07
821,"CD24",1.29417678235332e-07
822,"RAB15",1.29792347520736e-07
823,"ZFHX2",1.30105111558557e-07
824,"DKK1",1.30113517131831e-07
825,"AKAP13",1.30148703378504e-07
826,"PRICKLE1",1.30850985882139e-07
827,"CADPS2",1.31816907035255e-07
828,"SNX30",1.32696976111066e-07
829,"FAHD1",1.32980039177011e-07
830,"INTS6",1.33090731379407e-07
831,"PRMT5-DT",1.34112072237638e-07
832,"FDXR",1.34777052661574e-07
833,"SP140L",1.34921446156645e-07
834,"PFKP",1.35065280570008e-07
835,"TYMSOS",1.37059017684198e-07
836,"GLMN",1.37157092476425e-07
837,"TRIM32",1.38019462927437e-07
838,"RPS8",1.39820596088655e-07
839,"ENSG00000238045",1.39987337866944e-07
840,"SH3GL3",1.40570428095169e-07
841,"IFT122",1.40907677539725e-07
842,"LIFR-AS1",1.41278836930093e-07
843,"CNTFR",1.41371958132792e-07
844,"ENSG00000286675",1.41488290253708e-07
845,"TCERG1",1.41898575809015e-07
846,"TMEM86A",1.41917287021302e-07
847,"ALDH3B1",1.43693892393678e-07
848,"SPATA18",1.43783111415109e-07
849,"DPYS",1.44043331037262e-07
850,"ENSG00000279602",1.45552153108397e-07
851,"EML1",1.4660231658213e-07
852,"SUB1P1",1.47454470718476e-07
853,"GNAO1",1.47596517479908e-07
854,"AMOTL1",1.48880336206943e-07
855,"CBWD6",1.49582380705482e-07
856,"HAUS8",1.50670466870818e-07
857,"YWHAG",1.51869919580657e-07
858,"DIO3OS",1.54722053234092e-07
859,"ADPRH",1.56119838784523e-07
860,"CNN2",1.59517690433462e-07
861,"LGALS2",1.60710820761427e-07
862,"SLC15A3",1.60789206522704e-07
863,"BRS3",1.63220685584418e-07
864,"NCBP2AS2",1.63447361982137e-07
865,"DUBR",1.63930392517429e-07
866,"SCAI",1.67370026740665e-07
867,"LIMS1",1.67394739898786e-07
868,"PPP1R2",1.67439605516379e-07
869,"RAMAC",1.68094562246777e-07
870,"PCDH10-DT",1.68364967542062e-07
871,"MAD2L1BP",1.69401637986251e-07
872,"SLC22A5",1.69485696680916e-07
873,"AARS2",1.69762598442381e-07
874,"TRAM1L1",1.70164752506584e-07
875,"KIF13A",1.70501987892288e-07
876,"CHST5",1.73950212706689e-07
877,"KTI12",1.74364752102104e-07
878,"STXBP5L",1.74712167933288e-07
879,"PLAA",1.74961666309087e-07
880,"EIF4G3",1.76077017391219e-07
881,"MSANTD2",1.77015707677458e-07
882,"ENSG00000261123",1.77373186428836e-07
883,"SNHG6",1.77700414349614e-07
884,"CLCNKA",1.78409595373123e-07
885,"XPNPEP3",1.78854311012744e-07
886,"PCDH10",1.80147481662419e-07
887,"ID1",1.80502030117156e-07
888,"RHOH",1.80999837448754e-07
889,"MYH9",1.81521551439337e-07
890,"YIPF5",1.81561752509508e-07
891,"ANKS3",1.8244526611278e-07
892,"ENSG00000180019",1.82641250028231e-07
893,"ROR1",1.82644490684022e-07
894,"IFFO2",1.82840446539402e-07
895,"ACOT2",1.84930692958757e-07
896,"ENSG00000234432",1.85266617215871e-07
897,"ENSG00000287401",1.87100717218962e-07
898,"ZNF587B",1.8780004665924e-07
899,"FGF10",1.88246462808305e-07
900,"FBXL7",1.88281311717158e-07
901,"SORBS1",1.88415438723991e-07
902,"IL22RA1",1.88505905901598e-07
903,"ACP6",1.89816607339147e-07
904,"PTOV1-AS2",1.91732032361887e-07
905,"RBM28",1.93583541072609e-07
906,"LRRC75B",1.99008955951368e-07
907,"MMS22L",2.01017693347319e-07
908,"SNHG10",2.01122500171222e-07
909,"C3orf33",2.01602297871827e-07
910,"EME1",2.01821084568765e-07
911,"KCTD20",2.01874009573414e-07
912,"NALF1",2.02392833445238e-07
913,"MALAT1",2.02503715854058e-07
914,"DIS3L-AS1",2.02631047111489e-07
915,"MYH11",2.03837030201597e-07
916,"DHDDS-AS1",2.03946111724913e-07
917,"SPATA6",2.06999288515895e-07
918,"POU3F4",2.07051688247849e-07
919,"RPS27L",2.08290735921512e-07
920,"UBQLN2",2.08867075689359e-07
921,"CYB5R3",2.1052572173148e-07
922,"ENSG00000259933",2.1082295846902e-07
923,"SUPT3H",2.13927060942635e-07
