"Rank","Gene","p_value"
498,"ENSG00000285969",1.3370871926275e-05
499,"ENSG00000260917",1.34512267915689e-05
500,"MACROD2",1.34738240265274e-05
501,"PITPNB",1.35081209356828e-05
502,"FRG1BP",1.3589122580559e-05
503,"NF1",1.35911478361482e-05
504,"LANCL1",1.36591853570681e-05
505,"CAPZA2",1.36739532703782e-05
506,"LINC02361",1.37295532593936e-05
507,"ENSG00000249959",1.3859581624884e-05
508,"CASC18",1.38978799753494e-05
509,"PPP1R12B",1.39714879189859e-05
510,"TNIP3",1.3983514442761e-05
511,"EGR3",1.40635601987671e-05
512,"FRMPD4",1.40875727835857e-05
513,"SYDE1",1.42347239169721e-05
514,"P2RY14",1.43045560949351e-05
515,"LANCL2",1.43285036495825e-05
516,"ERC2",1.43913090025814e-05
517,"SLC10A4",1.45637637781186e-05
518,"ENSG00000279631",1.47291002919734e-05
519,"SLC16A14",1.48702086347337e-05
520,"DGKZP1",1.49046127517174e-05
521,"VWC2",1.49881493830786e-05
522,"ENSG00000286791",1.49920186154211e-05
523,"NBEA",1.50099150185649e-05
524,"PPM1E",1.50783222981223e-05
525,"ENSA",1.5096178348272e-05
526,"CSF1",1.50965368562501e-05
527,"ENSG00000254602",1.51232775320356e-05
528,"YWHAZP10",1.51608383331254e-05
529,"ENSG00000287567",1.522148272068e-05
530,"ENSG00000286922",1.52309166867369e-05
531,"RRN3P3",1.52716463172905e-05
532,"TMEM183A",1.53906380256193e-05
533,"MAP2",1.55057519194499e-05
534,"TIMM8A",1.55103201327888e-05
535,"FAM184B",1.55348189986812e-05
536,"CDKL5",1.56286227061852e-05
537,"ENSG00000145063",1.56509011074428e-05
538,"ENSG00000261996",1.56988546906444e-05
539,"TBRG1",1.57352005881093e-05
540,"NPTXR",1.59392187872843e-05
541,"CACNA1G-AS1",1.60151575290747e-05
542,"GNPTAB",1.60609431813171e-05
543,"KCNQ3",1.60613408388961e-05
544,"ENSG00000287829",1.62164195006461e-05
545,"VTA1",1.62470369170259e-05
546,"DLAT",1.65016059785774e-05
547,"LYRM7",1.65811930449725e-05
548,"ENSG00000286548",1.67022233299756e-05
549,"ENSG00000229393",1.67256733341419e-05
550,"RWDD1",1.67477716253518e-05
551,"EDA2R",1.67559289040207e-05
552,"ENSG00000259543",1.68835576515901e-05
553,"TASP1",1.70452937527669e-05
554,"HERPUD2-AS1",1.72568945506787e-05
555,"RCN2",1.72664102681543e-05
556,"AREL1",1.74168786547186e-05
557,"GAD2",1.74535197662897e-05
558,"USP46",1.74628313218189e-05
559,"MAPT-IT1",1.74733168496066e-05
560,"FLRT1",1.76192825180435e-05
561,"SH3BP5",1.7747008884761e-05
562,"LINC02458",1.80166838992466e-05
563,"SPAG6",1.80684460449294e-05
564,"ENSG00000186076",1.82176742508259e-05
565,"SUB1",1.82521017256446e-05
566,"FMR1",1.82628737262691e-05
567,"FAM149A",1.82730847570843e-05
568,"LFNG",1.85239974829272e-05
569,"DLX6",1.85664862139644e-05
570,"FGFRL1",1.85822904183613e-05
571,"ZFR",1.86458011016722e-05
572,"RNF141",1.86809856547722e-05
573,"ENSG00000256705",1.86853000514997e-05
574,"ROM1",1.88775111263166e-05
575,"LINC01354",1.88796526541314e-05
576,"KHDRBS2",1.89894176270493e-05
577,"UHRF1BP1L",1.90018456959418e-05
578,"CDK16",1.90353407775339e-05
579,"SYNPO",1.90366699545879e-05
580,"PCDH7",1.9427326711035e-05
581,"LYPD8",1.98122271915652e-05
582,"PLPPR4",1.98784806455907e-05
583,"ENSG00000232063",2.00431557884325e-05
584,"LPA",2.00537348261546e-05
585,"ENSG00000224387",2.0120260870647e-05
586,"SLC26A4-AS1",2.01697290889143e-05
587,"GALNT14",2.02711472295929e-05
