"Rank","Gene","p_value"
179,"RIMS3",8.36533741032673e-07
180,"SCG2",8.37259915102752e-07
181,"TMEM268",8.40531261323257e-07
182,"ADI1",8.60182703853675e-07
183,"PNPLA4",8.71106623298421e-07
184,"NIBAN1",8.76343071067984e-07
185,"ITPRIPL1",8.86997871412094e-07
186,"PATL1",8.88085277826602e-07
187,"ENSG00000287401",9.0996503862491e-07
188,"ENSG00000289028",9.21121161869977e-07
189,"SENP6",9.25954463353498e-07
190,"PIM1",9.26007294247062e-07
191,"ENSG00000227158",9.38056423718227e-07
192,"SPDYE20P",9.46725627743209e-07
193,"YIPF1",9.61340875642666e-07
194,"DMKN",9.68619303371538e-07
195,"ABCG1",9.93885647799834e-07
196,"ENSG00000225279",1.00044641518311e-06
197,"ENSG00000276573",1.04253716743248e-06
198,"NPAS1",1.05279462216238e-06
199,"ENSG00000234450",1.06500674527364e-06
200,"WTAP",1.06744801457805e-06
201,"ENSG00000272872",1.06888297622253e-06
202,"SDHC",1.08762949405899e-06
203,"ENSG00000265519",1.09018732801606e-06
204,"ZNF711",1.1320237942232e-06
205,"METTL18",1.14902017003371e-06
206,"KDELR1",1.14913855622428e-06
207,"CYSTM1",1.16375954925453e-06
208,"KDM2A",1.18222096541344e-06
209,"ENSG00000277128",1.21622160245441e-06
210,"DPY19L1",1.22684867745183e-06
211,"OMG",1.23146679114941e-06
212,"DUSP16",1.23441736669351e-06
213,"TET3",1.24748826078289e-06
214,"NINJ1",1.24808972273669e-06
215,"ALG2",1.24877718253886e-06
216,"PLEKHH3",1.25843528195529e-06
217,"CDKL2",1.30756732852967e-06
218,"GCNT1",1.31739354716465e-06
219,"LRGUK",1.32491596890721e-06
220,"LARP6",1.33908110587911e-06
221,"STAR",1.34341425493981e-06
222,"KDM4E",1.36073534511508e-06
223,"PRMT6",1.37546421739214e-06
224,"CDC42EP1",1.40729482098965e-06
225,"PANTR1",1.43172454274874e-06
226,"LGALS1",1.43428017663535e-06
227,"GLUD2",1.45749418174619e-06
228,"PIGF",1.46975678612096e-06
229,"ENSG00000267316",1.4721478156757e-06
230,"PLPP6",1.4884837220152e-06
231,"FSIP1",1.49110663307035e-06
232,"SMAD1",1.49545494977674e-06
233,"IFI16",1.51030187733794e-06
234,"ARHGAP9",1.53498183495875e-06
235,"HIVEP1",1.53992853320246e-06
236,"TMEM107",1.56753852499224e-06
237,"TFR2",1.56973016986968e-06
238,"CEBPB",1.57123144980473e-06
239,"SMPD2",1.58246457457875e-06
240,"SYNGR3",1.61001744024565e-06
241,"FGF14-AS2",1.61523881375286e-06
242,"LRIG3-DT",1.64047023728911e-06
243,"SPPL3",1.64287048035365e-06
244,"ZDHHC12",1.6570947235375e-06
245,"MAGED1",1.68386073537116e-06
246,"LYPD6",1.68489943683557e-06
247,"CCDC91",1.72876687550204e-06
248,"LY6G5C",1.73026709580511e-06
